Ticket Number,Title,Description,Asset,AssetTag,Urgency,Location,Status,Response Time,Resolution Time,Escallation Time,Status,Is First Call Resolution,Service,Request Type,Category,Request Source,Actual Response Time,Actual Resolution Time,Incident Creater Name,Ticket Creater Phone Number,Creation Time,Location,Sub Location,Requester,Assigned To,Comment
20220000002061,Test,unable to login to application,24,"",3,"Kigali,Rwanda",Assigned,17/11/2022 11:03,20/11/2022 11:03,21/11/2022 11:03,"",False,Application Service,Incident,General,Self Service,16/11/2022 13:12,01/01/0001 00:00,"","",16/11/2022 11:03,"","",Salman@test.com,L2@test.com,Ticket status set to assigned status by system as assignment due date passed
20220000002062,Unable to login to application,Unable to login to application even I am providing corrent credentials,24,"",1,"Kigali,Rwanda",Completed,17/11/2022 12:39,20/11/2022 12:39,21/11/2022 12:39,"",True,Application Service,Incident,General,Self Service,16/11/2022 12:40,16/11/2022 12:44,"","",16/11/2022 12:39,"","",Salman@test.com,Noman@test.com,"Request has been completed. with customer comment 'yes, after updating the app issue has been resolved'"
20220000002063,Router speed is very slow,"I am having issue since yesterday, ",26,"",1,"Kigali,Rwanda",Completed,17/11/2022 12:47,20/11/2022 12:47,21/11/2022 12:47,"",False,Hardware,Incident,Internet Maintenance,Self Service,16/11/2022 12:49,21/02/2023 15:54,"","",16/11/2022 12:47,"","",Salman@test.com,L2@test.com,Ticket status set to closed by system as customer did not respond within 7 days of resolution
20220000002064,Network router is tripping,The router is triping again and again and because of that my internet is disconnet ,26,"",3,"Kigali,Rwanda",Closed,17/11/2022 12:58,20/11/2022 12:58,21/11/2022 12:58,"",False,Hardware,Incident,Internet Maintenance,Self Service,16/11/2022 13:00,01/01/0001 00:00,"","",16/11/2022 12:58,"","",Salman@test.com,Noman@test.com,Ticket status changed by system to closed as The requester didn't respond within 28 days
20230000002065,test,test,"","",3,test,Completed,08/02/2023 09:20,10/02/2023 15:20,09/02/2023 15:20,"",False,Hardware,Bug,Internet Maintenance,Self Service,07/02/2023 15:22,21/02/2023 11:31,"","",07/02/2023 15:20,"","",admin@aspnetboilerplate.com,L2@test.com,Request has been completed. with customer comment 'yes'
20230000002066,test,test,"","",3,test,Closed,01/01/0001 00:00,01/01/0001 00:00,01/01/0001 00:00,"",False,Hardware,"","",Self Service,01/01/0001 00:00,01/01/0001 00:00,"","",07/02/2023 16:48,"","",admin@aspnetboilerplate.com,"",Ticket status changed by system to closed as The requester didn't respond within 28 days
20230000002067,tt,tt,"","",3,ttt,Completed,01/01/0001 00:00,01/01/0001 00:00,01/01/0001 00:00,"",False,Application Service,Incident,Service Desk,Self Service,01/01/0001 00:00,21/02/2023 11:38,"","",08/02/2023 14:05,"","",admin@aspnetboilerplate.com,"",Request has been completed. with customer comment 'yes'
20230000002068,gg,ggg,"","",3,gg,Completed,14/02/2023 13:24,18/02/2023 13:24,20/02/2023 05:24,"",False,Hardware,Bug,Internet Maintenance,Self Service,13/02/2023 13:25,21/02/2023 12:15,"","",13/02/2023 13:24,"","",admin@aspnetboilerplate.com,admin@aspnetboilerplate.com,Ticket status set to closed by system as customer did not respond within 7 days of resolution
20230000002069,test,test,"","",3,test,Assigned,22/02/2023 05:16,24/02/2023 11:16,23/02/2023 11:16,"",False,Application Service,Bug,Ticket Creation,Self Service,21/02/2023 11:17,21/02/2023 11:28,"","",21/02/2023 11:16,"","",admin@aspnetboilerplate.com,L2@test.com,Assignee of task 'tt' has been changed to admin 3
20230000002070,test4,test4,"","",3,test4,Active,22/02/2023 18:47,25/02/2023 18:47,26/02/2023 18:47,"",False,Application Service,Bug,Ticket Creation,Self Service,23/02/2023 13:00,01/01/0001 00:00,"","",21/02/2023 18:47,"","",admin@aspnetboilerplate.com,"",Request status changed to active
